"title","seasons","episodes","rating","year","genres","description","link","image"
"The Millionaire Detective - Balance: UNLIMITED","2","22","88","2020","Drama | Thriller","Based on Yasutaka Tsutsui’s mega-hit crime novel series, Fugou Keiji, the story centers around millionaire Daisuke Kambe, the heir to one of the wealthiest families in Japan, who is assigned as a detective to the Modern Crime Prevention Task Force (aka MCPTF), at the Tokyo Metropolitan Police Department.","https://www.wakanim.tv/sc/v2/catalogue/show/844/the-millionaire-detective-balance-unlimited","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/14_637213586843331430BU_Small.jpg"
"The Misfit of Demon King Academy: History's Strongest Demon King Reincarnates and Goes to School with His Descendants","1","13","88","2020","Action | Fantasy | Magic | Romance","The tyrannical Demon King has been reincarnated after 2000 years. However, his suitability to the academy that educates candidates to become the new Demon King…renders him a misfit!","https://www.wakanim.tv/sc/v2/catalogue/show/1035/the-misfit-of-demon-king-academy-historys-strongest-demon-king-reincarnates-and-goes-to-school-with-his-descendants","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/17_637291870657528533DKA_Small.jpg"
"The Mystic Archives of Dantalian","1","12","76","2011","Adventure | Historical | Magic | Supernatural","Hugh Anthony Disward befriends the guardian of a magical library and subdues monsters brought forth by magical works of literature.","https://www.wakanim.tv/sc/v2/catalogue/show/739/the-mystic-archives-of-dantalian","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/67_637296317430543412Dantalian_Small.jpg"
"The Prince of Tennis","1","2","100","2001","Action | Comedy | Shounen | Sport","The classic franchise continues with a fierce new rivalry! After Keigo Atobe and Hyotei Academy’s World Cup-winning performance, the players have returned home.","https://www.wakanim.tv/sc/v2/catalogue/show/1356/the-prince-of-tennis","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/124_637538264188726715POT_Small.jpg"
"THE PROMISED NEVERLAND","2","23","92","2019","Adventure | Drama | Horror | Supernatural","They thought the orphanage was a paradise. Now that they know the truth, only one choice remains: run away or die!","https://www.wakanim.tv/sc/v2/catalogue/show/437/the-promised-neverland","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/41_636822052408914661PN_Small.jpg"
"THE PROMISED NEVERLAND (S2)",0,0,"92","2021","Adventure | Drama | Horror | Supernatural | Thriller","STARTING JANUARY 7th","https://www.wakanim.tv/sc/v2/catalogue/show/1199/the-promised-neverland-s2","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/21_637452037436180216TPN-S2_Small-Banner.jpg"
"The Saint's Magic Power is Omnipotent","2","24","90","2021","Fantasy | Romance","Sei, a 20-year-old office worker, is whisked away to a whole new world. Unfortunately for Sei, the ritual that summoned her—meant to produce a “Saint” who would banish the dark magic—brought two people over instead of one.","https://www.wakanim.tv/sc/v2/catalogue/show/1272/the-saints-magic-power-is-omnipotent","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637529548787091819Saints-Magic_Small.jpg"
"The Silver Guardian","2","18","0","2017","Adventure | Fantasy","High school students and pro-level gamers Riku Suigin and Riku Rei are about to get swept up in an RPG unlike any other they’ve played before.","https://www.wakanim.tv/sc/v2/catalogue/show/1053/the-silver-guardian","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/307_637317189047726641Silver-Guardian_Small.jpg"
"The Stranger by the Shore","2","2","90","2020","Romance | Slice of Life","The love story of a young boy without a steady job and an aspiring novelist...Bittersweet, and in the end, heartwarming.","https://www.wakanim.tv/sc/v2/catalogue/show/1439/the-stranger-by-the-shore","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/17_637607523798589624EDP_Small.jpg"
"The Tatami Galaxy","2","12","88","2010","Comedy | Drama | Romance | Seinen | Supernatural","An encounter with a deity of matrimony leads a young man to flash back to his transformation from a romantic into a cruel “black cupid.”","https://www.wakanim.tv/sc/v2/catalogue/show/1018/the-tatami-galaxy","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/86_637272013554460187Tatami-Galaxy_Small.jpg"
"The Vampire Dies in No time","2","24","80","2021","Comedy | Shounen | Supernatural","Legendary vampire hunter Ronaldo finds an unlikely (and unwilling) ally in Draluc, the world’s weakest vampire who turns to dust at the slightest attack.","https://www.wakanim.tv/sc/v2/catalogue/show/1507/the-vampire-dies-in-no-time","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637687645401855144VDNT_Small.jpg"
"The World Ends with You The Animation","2","24","66","2021","Action | Adventure | Fantasy","Based on the hit game from Square Enix, Neku has died but doesn’t remember what happened. He joins the Reaper’s Game in The Underground, a contest for the dead where he fights to be brought back to life because…losers are erased from existence.","https://www.wakanim.tv/sc/v2/catalogue/show/1276/the-world-ends-with-you-the-animation","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/34_637530402697672672TWEWY_Small.jpg"
"The World's Greatest First Love","2","26","86","2011","Comedy | Drama | Romance | Yaoi","After his first love with a handsome upperclassman ends in heartbreak, Ritsu Onodera is over the troubles of love. But when he transfers to a new job he winds up working under Masamune Takano—the senpai who broke his heart!","https://www.wakanim.tv/sc/v2/catalogue/show/738/the-worlds-greatest-first-love","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/265_637576347162333703Sekai-Ichi-Hatsukoi_Small.jpg"
"Time Travel Girl","1","12","80","2016","Adventure | Historical | Sci-Fi","Mari Hayase and her friends are going back in time to meet eight of the most prominent scientists and inventors in history.","https://www.wakanim.tv/sc/v2/catalogue/show/791/time-travel-girl","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/75_637244435849552426Time-Travel-Girl_Small.jpg"
"Toilet-bound Hanako-kun","2","24","92","2020","Comedy | Drama | Fantasy | Horror | Romance | Supernatural","There’s a strange rumor going around school. In the third-floor women’s room of the old school building, there exists a “Hanako-san” in the third stall, and those who summon her will have any wish granted.","https://www.wakanim.tv/sc/v2/catalogue/show/614/toilet-bound-hanako-kun","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/285_637262708944117135TB_Small.jpg"
"Tokyo 24th Ward","2","26","74","2022","Action | Adventure | Drama | Sci-Fi","Three childhood friends have grown up on a man-made island: the 24th Ward. After an incident throws their day-to-day lives into disarray, the three youngsters receive a call from a friend they believed to be dead.","https://www.wakanim.tv/sc/v2/catalogue/show/1630/tokyo-24th-ward","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/3112_637765614681509683T24_Small.jpg"
"Tokyo ESP","2","24","66","2014","Action | Comedy | Drama | Magic | Sci-Fi | Shounen","Rinka's ordinary life takes a turn for the extraordinary when she witnesses a penguin and a school of fish flying through the air.","https://www.wakanim.tv/sc/v2/catalogue/show/714/tokyo-esp","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/116_637274694767823308Tokyo-ESP_Small.jpg"
"Tokyo Ghoul","6","52","84","2014","Action | Drama | Horror | Shounen | Supernatural","Tokyo lives in fear of creatures called Ghouls. By day, they live as ordinary humans, but by night, they become flesh-eating monsters. When an young man becomes the first Ghoul-human half breed, he must learn to harness his deadly, newfound powers.","https://www.wakanim.tv/sc/v2/catalogue/show/663/tokyo-ghoul","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/141_637145962730739356Tokyo_Ghoul_Small.png"
"Tokyo Ghoul √ A",0,0,"84","2015","Action | Drama | Horror | Shounen | Supernatural","Tokyo lives in fear of creatures called Ghouls. By day, they live as ordinary humans, but by night, they become flesh-eating monsters. When an young man becomes the first Ghoul-human half breed, he must learn to harness his deadly, newfound powers.","https://www.wakanim.tv/sc/v2/catalogue/show/664/tokyo-ghoul-a","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/141_637146024467769024Tokyo_Ghoul_S2_Small.png"
"Tokyo Ghoul:re","4","48","74","2018","Drama | Horror | Seinen | Supernatural","They lurk into the crowd to better feed on human flesh. They look like humans, but their appearance is misleading ...","https://www.wakanim.tv/sc/v2/catalogue/show/360/tokyo-ghoulre","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/216_636967478188110325Tokyo_Ghoul_RE_Small.png"
"Tokyo Ravens","2","48","88","2013","Action | Comedy | Drama | Magic | Romance | Supernatural","Without the same magical abilities as his family, Hautora was doomed to live a normal life. Until a girl from his past changes his future.","https://www.wakanim.tv/sc/v2/catalogue/show/1690/tokyo-ravens","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/2312_637758502067888877TR_Small.jpg"
"Toradora!",0,"50","94","2008","Comedy | Romance | Slice of Life","Ryuji Takasu is madly in love with Minorin. Taiga Aisaka, Minorin’s best friend, has a crush on Ryuji’s closest friend. The unlikely duo agree to help each other steal the hearts of the ones they care about—but true love might be closer than they think.","https://www.wakanim.tv/sc/v2/catalogue/show/1448/toradora","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/107_637615309104299605Toradora_Small.jpg"
"Tribe Nine","1","24","60","2022","Sport","Gang war in Tokyo! Two rival organizations settle their accounts in Extreme Baseball duels. They will do everything to win, even if it means destroying the city...","https://www.wakanim.tv/sc/v2/catalogue/show/1577/tribe-nine","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/31_637768205578784485T9_Small.jpg"
"Trickster","4","48","78","2016","Action | Drama | Original | Sci-Fi","Follow Kensuke Hanasaki and the Boys’ Detective Team as they investigate an undying boy named Kobayashi and dark mysteries around the city.","https://www.wakanim.tv/sc/v2/catalogue/show/793/trickster","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/304_637238490999607357Trickster_Small.jpg"
"Tsugumomo","1","12","100","2017","Action | Comedy | Ecchi | Seinen | Supernatural","Kazuya, an ordinary boy, encounters Kiriha, a beautiful girl in a kimono. Bizarre things unfold in this supernatural action comedy!","https://www.wakanim.tv/sc/v2/catalogue/show/1048/tsugumomo","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/297_637316359838547364Tsugumomo_Small.jpg"
"Tsukigakirei","2","24","98","2017","Drama | Original | Romance | Slice of Life","Falling in love is a complicated matter, especially for middle schoolers Kotarou Azumi and Akane Mizuno, who couldn’t be more different.","https://www.wakanim.tv/sc/v2/catalogue/show/1025/tsukigakirei","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/176_637279859657890885Tsukigakirei_Small.jpg"
"Tsukiuta. THE ANIMATION","1","13","70","2016","Comedy | Music | Slice of Life","Follow the handsome members of Six Gravity and Procellarum as they deal with the stresses of idol-hood, school, and
living together!","https://www.wakanim.tv/sc/v2/catalogue/show/781/tsukiuta-the-animation","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/116_637274687552205086Tsukiuta_Small.jpg"
"Tsuredure Children","1","12","74","2017","Comedy | Romance | Shounen","Short vignettes explore pairs of students and offer a glimpse into the unique and funny situations that can happen in a high school romance.","https://www.wakanim.tv/sc/v2/catalogue/show/1049/tsuredure-children","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/307_637316952311008981Tsuredure-Children_Small.jpg"
"Ulysses: Jeanne d'Arc and the Alchemist Knight","1","12","26","2018","Action | Fantasy","When the alchemist knight Montmorency is forced to leave his war-torn training school, he meets a woman named Jeanne who changes his fate.","https://www.wakanim.tv/sc/v2/catalogue/show/1050/ulysses-jeanne-darc-and-the-alchemist-knight","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/307_637316973819095940Ulysses_Small.jpg"
"Unbreakable Machine-Doll","2","24","80","2013","Action | Comedy | Drama | Ecchi | Fantasy | Sci-Fi","A Japanese boy enters the most prestigious magic academy in the world—where living dolls fight to decide the world's best puppeteer.","https://www.wakanim.tv/sc/v2/catalogue/show/706/unbreakable-machine-doll","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/273_637209007062317831Unbreakable-Machine-Doll_Small.jpg"
"UQ HOLDER!","1","12","62","2017","Action | Adventure | Ecchi | Martial Arts | Shounen | Vampire","Tôta Konoe has spent all his life living in a quiet and peaceful country town. Now he dreams of one thing and one thing only: moving to the capital city to become famous.","https://www.wakanim.tv/sc/v2/catalogue/show/248/uq-holder","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/216_636967478564291743UQ_Holder_Small.png"
"Utawarerumono","4","52","70","2006","Action | Drama | Fantasy | Sci-Fi | Seinen","After Hakuoro was left for dead, he was welcomed into a land where an angry god seeks vengeance, and the government slaughters the innocent.","https://www.wakanim.tv/sc/v2/catalogue/show/1405/utawarerumono","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/255_637575350046583146Utawarerumono_Small.jpg"
"Uzaki-chan Wants to Hang Out!","2","24","86","2020","Comedy | Ecchi | Romance | Slice of Life","He wants to be left alone but she is bent on hanging out with him... a romantic comedy adapted from Take's manga!","https://www.wakanim.tv/sc/v2/catalogue/show/1008/uzaki-chan-wants-to-hang-out","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/17_637292160419879774Uzaki-Chan_Small.jpg"
"Valkyrie Drive - Mermaid","2","24","76","2015","Action | Comedy | Ecchi | Fantasy | Magic | Original | Romance | Yuri","After “mermaid” Mamori is transferred to a remote island, she’s attacked and eventually saved by another transfer named Mirei.","https://www.wakanim.tv/sc/v2/catalogue/show/764/valkyrie-drive-mermaid","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/273_637209004105843708Valkyrie-Drive_Small.jpg"
"VANISHING LINE","4","48","78","2017","Action | Adventure | Original | Sci-Fi","In prosperous Russell City, a conspiracy threatening to shake its world has been set in motion. A man named Sword is the first to hear the earliest stirrings of the plot, and throws himself into a shadow war in order to expose it.","https://www.wakanim.tv/sc/v2/catalogue/show/277/vanishing-line","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/216_636967481683471899Vanishing_Line_Small.png"
"Visual Prison","1","12","88","2021","Music | Supernatural | Vampire","Once a year, during the red moon, the vampires gather for the ""Visual Prison"" event, a competition between artists to give the best V-kei concert possible.","https://www.wakanim.tv/sc/v2/catalogue/show/1511/visual-prison","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/510_637690378645157917VP_Small-2.jpg"
"Vivy -Fluorite Eye's Song-","2","26","92","2021","Action | Adventure | Drama | Sci-Fi","Vivy is the first humanoid Artificial Intelligence. Created to entertain amusement park customers, her life changes the day she meets Matsumoto, another AI from the future.","https://www.wakanim.tv/sc/v2/catalogue/show/1291/vivy-fluorite-eyes-song","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637529538386562255Vivy_Small.jpg"
"Wandering Witch: The Journey of Elaina","2","24","84","2020","Adventure | Fantasy","Elaina, a cheeky and particularly strong young witch, journeys from country to country to see more about the world.","https://www.wakanim.tv/sc/v2/catalogue/show/1123/wandering-witch-the-journey-of-elaina","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/2010_637387973803061858Wandering-Witch_Small.jpg"
"Warlords of Sigrdrifa","2","24","80","2020","Action | Fantasy","Discover the new series from the famous studio A-1 Pictures! The end of the world is near, but young pilots with superpowers lead humanity's counter-attack...","https://www.wakanim.tv/sc/v2/catalogue/show/1099/warlords-of-sigrdrifa","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372263862872706Warlords-of-Sigrdrifa_Small.jpg"
"Wave, Listen to Me!","2","24","88","2020","Comedy | Drama | Music | Romance | Slice of Life","Minare Koda is a young waitress from Sapporo. One day, she meets Kanetsugu Matou, the director of a local radio station, in a bar and they have a very heated conversation about broken hearts.","https://www.wakanim.tv/sc/v2/catalogue/show/868/wave-listen-to-me","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/14_637213527611677236Wave_Small_DE-SC.jpg"
"WONDER EGG PRIORITY","2","26","88","2021","Drama | Horror","This is the story of Ai, an introverted girl whose fate is forever changed when she acquires a mysterious “Wonder Egg” from a deserted arcade.","https://www.wakanim.tv/sc/v2/catalogue/show/1223/wonder-egg-priority","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/31_637452813871914490WEP_Small.jpg"
"Yona of the Dawn","4","48","86","2014","Action | Comedy | Drama | Fantasy | Historical | Romance | Shoujo","On her sixteenth birthday, Princess Yona intended to tell her father of her love for Su-Won, but instead, she saw him take her father's life.","https://www.wakanim.tv/sc/v2/catalogue/show/720/yona-of-the-dawn","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/253_637207487944610599Yona_Small.jpg"
"Yuri!!! on Ice","2","24","98","2016","Comedy | Original | Romance | Sport","After suffering defeat, Yuri Katsuki hangs up his ice skates for good. But will an encounter with two top skaters reignite his passion?","https://www.wakanim.tv/sc/v2/catalogue/show/1019/yuri-on-ice","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/116_637274785117060235Yuri-On-Ice_Small.jpg"
"Yurikuma Arashi","2","24","84","2015","Action | Drama | Ecchi | Magic | Original | Romance | Seinen | Supernatural","After an asteroid explosion and meteor shower lit up the sky over planet Earth, strange adorable bears began to attack and devour humans.","https://www.wakanim.tv/sc/v2/catalogue/show/729/yurikuma-arashi","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/253_637207486439501157Yurikuma-Arashi_Small.jpg"
"Zillion","4","32","100","1987","Action | Adventure | Sci-Fi | Shounen","Humanity’s best chance for survival rests upon three young soldiers wielding powerful handheld weapons called Zillion.","https://www.wakanim.tv/sc/v2/catalogue/show/776/zillion","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/67_637296308872900387Zillion_Small.jpg"
"ZOMBIE LAND SAGA","1","12","84","2018","Comedy | Supernatural","When everything falls to chaos at the hands of zombies, seven girls don’t just try to stay alive, they try to go live—on stage.","https://www.wakanim.tv/sc/v2/catalogue/show/1051/zombie-land-saga","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/307_637317003048662004Zombie-Land-Saga_Small.jpg"
