"title","seasons","episodes","rating","year","genres","description","link","image"
"Omamori Himari","1","12","76","2010","Action | Comedy | Drama | Ecchi | Magic | Romance | Supernatural","Yuuto Amakawa’s life becomes pawsitively arousing when beautiful demons start showing up! But with beauty comes danger. Yuuto will have to face deadly Ayakashi while also balancing even more deadly and sensual girls.","https://www.wakanim.tv/sc/v2/catalogue/show/742/omamori-himari","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/145_637566071711158180Omamori-Himari_Small.jpg"
"Otherside Picnic","1","12","82","2021","Adventure | Fantasy | Sci-Fi","What if ghost stories/urban legends were real? Cross the door to the otherworld to find out!","https://www.wakanim.tv/sc/v2/catalogue/show/1195/otherside-picnic","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/21_637452087693830536OP_Small.jpg"
"Our Last Crusade or the Rise of a New World","2","24","88","2020","Action | Fantasy | Romance","The series, based on a light novel, follows the cool, disgraced knight of the science kingdom who faces off against the ice princess sorceress of the rival magic kingdom.","https://www.wakanim.tv/sc/v2/catalogue/show/1059/our-last-crusade-or-the-rise-of-a-new-world","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372586872673982OurLastCrusade_small.jpg"
"Overlord","7","91","88","2015","Action | Adventure | Ecchi | Fantasy | Isekai | Magic","After a veteran player refuses to log out of a popular MMORPG, the NPC's begin to develop minds of their own—and he decides to rule them.","https://www.wakanim.tv/sc/v2/catalogue/show/667/overlord","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/161_637147638402438475Overlord_Small.jpg"
"Overlord II",0,0,"88","2018","Action | Adventure | Ecchi | Fantasy | Isekai | Magic","After a veteran player refuses to log out of a popular MMORPG, the NPC's begin to develop minds of their own—and he decides to rule them.","https://www.wakanim.tv/sc/v2/catalogue/show/668/overlord-ii","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/161_637147663200777148Overlord%20II%20small.png"
"Overlord III",0,0,"88","2018","Action | Adventure | Ecchi | Fantasy | Isekai | Magic","After a veteran player refuses to log out of a popular MMORPG, the NPC's begin to develop minds of their own—and he decides to rule them.","https://www.wakanim.tv/sc/v2/catalogue/show/669/overlord-iii","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/161_637147683576879710Overlord%20III%20small.png"
"Pandora in the Crimson Shell: Ghost Urn","2","24","72","2016","Action | Adventure | Comedy | Ecchi | Sci-Fi","Cyborg Nene Nanakorobi teams up with a famous inventor and her cybernetic assistant, Clarion, to take down a super-powered terrorist.","https://www.wakanim.tv/sc/v2/catalogue/show/772/pandora-in-the-crimson-shell-ghost-urn","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/115_637247810988253809Crimson-Shell_Small.jpg"
"Paranoia Agent","2","26","80","2004","Drama | Horror | Police | Seinen | Supernatural | Thriller","From Satoshi Kon, the legendary director of Perfect Blue, Millennium Actress, and Paprika comes a dark and mysterious, thought-provoking psychological thriller. Citizens across Musashino City are being attacked and terrorized.","https://www.wakanim.tv/sc/v2/catalogue/show/675/paranoia-agent","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/275_637577013410321323Paranoia-Agent_Small.jpg"
"Phantasy Star Online 2 : Episode Oracle","2","25","60","2019","Action | Adventure | Sci-Fi","In the year AP 238, the space-exploration fleet ""Oracle"" continues its journey. Upon the discovery of a new planet, ARKS descends to investigate and exterminate any Falspawn.","https://www.wakanim.tv/sc/v2/catalogue/show/586/phantasy-star-online-2-episode-oracle","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/2310_637074409703510771PSO_Small.png"
"Planetarian: The Reverie of a Little Planet","4","12","86","2016","Drama | Sci-Fi","Hoshino Yumemi has patiently waited for customers at an abandoned planetarium for thirty years. When one shows up, can he help her rebuild?","https://www.wakanim.tv/sc/v2/catalogue/show/785/planetarian-the-reverie-of-a-little-planet","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637214316610835488Planetarian_Small.jpg"
"Platinum End","4","48","64","2021","Drama | Supernatural","""I will give you the hope to live."" Kakehashi Mirai lost his parents in an accident and lived in misery with the relatives who took him in.","https://www.wakanim.tv/sc/v2/catalogue/show/1568/platinum-end","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/410_637689400175966455PE_Small.jpg"
"Plunderer","4","48","74","2020","Action | Adventure | Comedy | Drama | Ecchi | Shounen | Supernatural","Alcia, a world that was born after the great war, or so-called ""War of Elimination"".
This world is governed by the law of the strongest, where the strong and the weak are determined by their Count.","https://www.wakanim.tv/sc/v2/catalogue/show/596/plunderer","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/14_637213299704191566PL-C2_Small.jpg"
"Police in a Pod","1","13","78","2022","Comedy | Police | Slice of Life","Kawai, a young policewoman, can't stand her job anymore. On her way to hand in her resignation letter, she meets the new police station chief. After spending some time with her new boss, who will become a real role model in her eyes, she chooses to remain on the force a little longer... A refreshing comedy adapted from Miko Yasu's manga by the Madhouse studio (Death Note, One-Punch Man)!","https://www.wakanim.tv/sc/v2/catalogue/show/1684/police-in-a-pod","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/2712_637762096128116683PIP_Small.jpg"
"Pop Team Epic","3","36","74","2018","Comedy","They’re crude, rude, and a little...cute? Get ready for the bizarre comedy antics of the small and tall Popuko and Pipimi!","https://www.wakanim.tv/sc/v2/catalogue/show/1040/pop-team-epic","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/287_637315376672342087Pop-Team-Epic_Small.jpg"
"Pretty Boy Detective Club","2","24","78","2021","","Mayumi Dojima is a young girl who has been searching for a star that she saw only once ten years ago. She visits the headquarters of the Pretty Boy Detective Club where she meets five boys who are each unique in their own way.","https://www.wakanim.tv/sc/v2/catalogue/show/1297/pretty-boy-detective-club","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637529551015174313PBD_Small.jpg"
